Name,Ingredients,Procedure,Serving
Adhirasam,"Rice flour, Jaggery, Cardamom powder, Oil for frying","Mix rice flour, jaggery, and cardamom powder to make a smooth dough. Heat oil and shape the dough into small flat cakes. Deep fry the cakes until golden brown. Drain excess oil and allow them to cool before serving.",Serve as a sweet treat during festivals or special occasions.
Aloo Gobi,"Potatoes, Cauliflower, Onions, Tomatoes, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Heat oil, add cumin seeds, and sauté onions until golden brown. Add ginger-garlic paste, tomatoes, and spices. Cook until the oil separates. Add potatoes, cauliflower, and cook until tender. Garnish with fresh coriander leaves.",Serve hot with rotis or steamed rice.
Aloo Matar,"Potatoes, Green peas, Onions, Tomatoes, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Heat oil, add cumin seeds, and sauté onions until golden brown. Add ginger-garlic paste, tomatoes, and spices. Cook until the oil separates. Add potatoes, green peas, and cook until tender. Garnish with fresh coriander leaves.",Serve hot with rotis or steamed rice.
Aloo Methi,"Potatoes, Fresh fenugreek leaves (methi), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Oil, Salt","Heat oil, add cumin seeds, and sauté onions until golden brown. Add ginger-garlic paste, green chilies, tomatoes, and spices. Cook until the oil separates. Add potatoes, fresh fenugreek leaves, and cook until potatoes are tender. Garnish with fresh coriander leaves.",Serve hot with rotis or steamed rice.
Aloo Shimla Mirch,"Potatoes, Bell peppers (Shimla mirch), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Heat oil, add cumin seeds, and sauté onions until golden brown. Add ginger-garlic paste, green chilies, tomatoes, and spices. Cook until the oil separates. Add potatoes, bell peppers, and cook until tender. Garnish with fresh coriander leaves.",Serve hot with rotis or steamed rice.
Aloo Tikki,"Potatoes, Green peas, Bread crumbs, Green chilies, Ginger, Coriander leaves, Garam masala, Chaat masala, Oil, Salt","Boil and mash potatoes. Cook green peas and mash them as well. Mix mashed potatoes, green peas, chopped green chilies, ginger, coriander leaves, garam masala, and salt to form a dough. Shape the dough into flat round patties, coat with bread crumbs, and shallow fry until golden brown.",Serve with chutney and yogurt as a popular Indian snack.
Anarsa,"Rice flour, Jaggery, Poppy seeds, Ghee, Oil for frying","Mix rice flour, jaggery, and a little water to form a dough. Allow it to ferment for a few days. Roll the dough into small discs, dip in poppy seeds, and flatten them. Deep fry until golden brown.",Serve as a sweet snack during festivals or special occasions.
Ariselu,"Rice flour, Jaggery, Sesame seeds, Ghee, Oil for frying","Prepare a thick syrup with jaggery and water. Mix rice flour to form a dough, then roll into small discs and dip in the jaggery syrup. Sprinkle sesame seeds, and deep fry until golden brown.",Serve as a sweet delicacy during festivals.
Basundi,"Milk, Condensed milk, Almonds, Pistachios, Saffron strands, Cardamom powder","Boil milk until it thickens and reduces to half its quantity. Add condensed milk, saffron strands, cardamom powder, and chopped nuts. Cook until the desired consistency is achieved.",Serve chilled as a dessert.
Bhatura,"All-purpose flour, Yogurt, Baking powder, Baking soda, Salt, Oil","Mix all-purpose flour, yogurt, baking powder, baking soda, and salt to form a soft dough. Allow it to ferment. Roll into round discs and deep fry until golden brown.",Serve with chana masala or aloo sabzi.
Bhindi Masala,"Okra (bhindi), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Oil, Salt","Heat oil, add cumin seeds, and sauté onions until golden brown. Add ginger-garlic paste, green chilies, tomatoes, and spices. Cook until the oil separates. Add okra and cook until tender.",Serve hot with rotis or steamed rice.
Biryani,"Basmati rice, Chicken or meat, Onions, Tomatoes, Yogurt, Ginger-garlic paste, Biryani masala, Saffron strands, Ghee, Oil, Salt","Marinate chicken or meat with yogurt, ginger-garlic paste, and biryani masala. Layer marinated meat and partially cooked basmati rice. Cook until the rice and meat are tender.",Serve hot with raita and salad.
Boondi,"Gram flour (besan), Water, Baking soda, Oil for frying",Make a batter with gram flour and water. Add baking soda and fry small droplets of the batter until golden brown. Drain excess oil and allow them to cool before serving.,Serve as a crunchy snack.
Butter Chicken,"Chicken, Butter, Onions, Tomatoes, Cream, Ginger-garlic paste, Red chili powder, Garam masala, Kasuri methi, Oil, Salt","Sauté chicken in butter. In a separate pan, cook onions, tomatoes, and spices to make the gravy. Mix the chicken with the gravy and finish with cream and kasuri methi.",Serve hot with naan or rice.
Chak Hao Kheer,"Black rice, Milk, Sugar, Cardamom powder, Nuts (optional)","Boil black rice in milk until soft. Add sugar, cardamom powder, and nuts. Cook until the desired consistency is achieved.","Serve as a sweet dish, garnished with nuts."
Cham Cham,"Paneer, Sugar, Milk, Rose water, Saffron strands, Cardamom powder, Nuts","Knead paneer, shape into small cylinders, and boil in sugar syrup. Simmer in milk with cardamom powder and saffron. Garnish with nuts and rose water.",Serve chilled as a sweet dessert.
Chana Masala,"Chickpeas, Onions, Tomatoes, Ginger-garlic paste, Green chilies, Coriander powder, Cumin seeds, Garam masala, Oil, Salt","Cook chickpeas and sauté with onions, tomatoes, and spices. Garnish with fresh coriander leaves.",Serve hot with rice or naan.
Chapati,"Whole wheat flour, Water, Salt","Mix whole wheat flour, water, and salt to make a dough. Roll into flat discs and cook on a hot griddle until puffed and cooked.","Serve with vegetables, curries, or dal."
Chhena Kheeri,"Paneer (chhena), Milk, Sugar, Cardamom powder, Nuts, Saffron strands","Boil milk and add paneer (chhena). Cook until the mixture thickens. Add sugar, cardamom powder, and saffron. Garnish with nuts.",Serve chilled as a dessert.
Chicken Razala,"Chicken, Yogurt, Cashews, Onions, Ginger-garlic paste, Garam masala, Green chilies, Coriander leaves, Oil, Salt",Marinate chicken with yogurt and spices. Cook with a cashew-based gravy. Garnish with coriander leaves.,Serve hot with rotis or rice.
Chicken Tikka,"Chicken, Yogurt, Red chili powder, Ginger-garlic paste, Garam masala, Lemon juice, Oil, Salt",Marinate chicken with yogurt and spices. Skewer and grill until cooked.,Serve hot as an appetizer or with naan.
Chicken Tikka Masala,"Chicken, Yogurt, Red chili powder, Ginger-garlic paste, Garam masala, Tomatoes, Cream, Butter, Oil, Salt",Marinate chicken with yogurt and spices. Grill until cooked and add to a tomato-based gravy. Finish with cream and butter.,Serve hot with naan or rice.
Chikki,"Jaggery, Peanuts, Ghee","Melt jaggery and mix with roasted peanuts. Spread the mixture, cool, and cut into pieces.",Serve as a crunchy sweet snack.
